
2025/01/02 (20:36:10) | ===> btop++ v.1.4.0
2025/01/02 (20:36:10) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/02 (20:36:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/02 (20:41:30) | ===> btop++ v.1.4.0
2025/01/02 (20:41:30) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/02 (20:41:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/02 (20:42:03) | ===> btop++ v.1.4.0
2025/01/02 (20:42:03) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/02 (20:42:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/02 (22:54:13) | ===> btop++ v.1.4.0
2025/01/02 (22:54:13) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/02 (22:54:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/02 (23:03:05) | ===> btop++ v.1.4.0
2025/01/02 (23:03:05) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/02 (23:03:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/03 (00:39:45) | ===> btop++ v.1.4.0
2025/01/03 (00:39:45) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/03 (00:39:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/03 (12:09:40) | ===> btop++ v.1.4.0
2025/01/03 (12:09:40) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/03 (12:09:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/03 (19:06:06) | ===> btop++ v.1.4.0
2025/01/03 (19:06:06) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/03 (19:06:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/04 (19:36:17) | ===> btop++ v.1.4.0
2025/01/04 (19:36:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/04 (19:36:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/04 (19:37:03) | ===> btop++ v.1.4.0
2025/01/04 (19:37:03) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/04 (19:37:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/04 (20:15:40) | ===> btop++ v.1.4.0
2025/01/04 (20:15:40) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/04 (20:15:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/04 (20:27:42) | ===> btop++ v.1.4.0
2025/01/04 (20:27:42) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/04 (20:27:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/07 (00:00:41) | ===> btop++ v.1.4.0
2025/01/07 (00:00:41) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/07 (00:00:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/18 (12:54:16) | ===> btop++ v.1.4.0
2025/01/18 (12:54:16) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/18 (12:54:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/18 (12:57:36) | ===> btop++ v.1.4.0
2025/01/18 (12:57:36) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2025/01/18 (12:57:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/18 (12:57:39) | ===> btop++ v.1.4.0
